Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Give me English actors starring in Lovesick.,"['http://dbpedia.org/resource/Lovesick_(1983_film)', 'http://dbpedia.org/resource/United_Kingdom']","['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/Kingdom_of_England', 'http://dbpedia.org/resource/The_Actors', 'http://dbpedia.org/resource/Lovesick_(2014_film)']",0.0,0.0,"['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/country']",1.0,0.6666666666666666
What is the nick name of Baghdad?,[],['oaf:nic'],['http://dbpedia.org/resource/Baghdad'],1,1,['http://dbpedia.org/property/nickname'],0.0,0.0
In which city was the president of Montenegro born?,[],"['http://dbpedia.org/property/title', 'http://dbpedia.org/ontology/type']",['http://dbpedia.org/resource/Montenegro'],1,1,"['http://dbpedia.org/ontology/president', 'http://dbpedia.org/ontology/birthPlace']",0.0,0.0
Which U.S. state has the highest population density?,['http://dbpedia.org/resource/United_States'],"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/capital', 'http://dbpedia.org/property/densityrank']","['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Population_density']",0.5,1.0,[],0,0.0
What is the longest river in China?,['http://dbpedia.org/resource/China'],[],['http://dbpedia.org/resource/China'],1.0,1.0,['http://dbpedia.org/ontology/river'],1,1
What is the area code of Berlin?,['http://dbpedia.org/resource/Berlin'],['http://dbpedia.org/ontology/areaCode'],['http://dbpedia.org/resource/Berlin'],1.0,1.0,['http://dbpedia.org/property/areaCode'],1.0,1.0
How many scientists graduated from an Ivy League university?,['http://dbpedia.org/resource/Ivy_League'],['http://dbpedia.org/ontology/affiliation'],['http://dbpedia.org/resource/Ivy_League'],1.0,1.0,"['http://dbpedia.org/property/scientists', 'http://dbpedia.org/ontology/effectiveRadiatedPower']",0.0,0.0
Which professional surfers were born in Australia?,"['http://dbpedia.org/resource/Surfer', 'http://dbpedia.org/resource/Australia', 'http://dbpedia.org/resource/Surfer', 'http://dbpedia.org/resource/Australia']","['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/country']",['http://dbpedia.org/resource/Australia'],1.0,0.25,"['http://dbpedia.org/ontology/person', 'http://dbpedia.org/ontology/birthPlace']",0.0,0.0
Give me all Dutch parties.,['http://dbpedia.org/resource/Netherlands'],[],['http://dbpedia.org/resource/Dutch'],0.0,0.0,['http://dbpedia.org/ontology/country'],1,1
How many moons does Mars have?,['http://dbpedia.org/resource/Mars'],['http://dbpedia.org/property/satellites'],['http://dbpedia.org/resource/Mars'],1.0,1.0,['http://dbpedia.org/ontology/name'],0.0,0.0
What is Batman's real name?,['http://dbpedia.org/resource/Batman'],[],"['http://dbpedia.org/resource/Batman', 'http://dbpedia.org/resource/Treytorrens', 'http://dbpedia.org/resource/Real-name_system']",0.3333333333333333,1.0,['http://dbpedia.org/ontology/country'],1,1
What is Elon Musk famous for?,['http://dbpedia.org/resource/Elon_Musk'],['http://dbpedia.org/ontology/knownFor'],['http://dbpedia.org/resource/Elon_Musk'],1.0,1.0,[],0,0.0
Who is the author of WikiLeaks?,['http://dbpedia.org/resource/WikiLeaks'],['nto:autho'],['http://dbpedia.org/resource/WikiLeaks'],1.0,1.0,['http://dbpedia.org/ontology/author'],0.0,0.0
Sean Parnell was the governor of which U.S. state?,['http://dbpedia.org/resource/Sean_Parnell'],['http://dbpedia.org/ontology/region'],"['http://dbpedia.org/resource/Sean_Parnell', 'http://dbpedia.org/resource/Carrington_College_(US)']",0.5,1.0,['http://dbpedia.org/ontology/governor'],0.0,0.0
How many years was the Ford Model T manufactured?,['http://dbpedia.org/resource/Ford_Model_T'],['http://dbpedia.org/ontology/productionEndYear'],"['http://dbpedia.org/resource/T', 'http://dbpedia.org/resource/Ford_Model_48']",0.0,0.0,['http://dbpedia.org/ontology/manufacturer'],0.0,0.0
When was Carlo Giuliani shot?,['http://dbpedia.org/resource/Death_of_Carlo_Giuliani'],['http://dbpedia.org/ontology/deathDate'],"['http://dbpedia.org/resource/Carlo_Giuliani,_Boy']",0.0,0.0,['http://dbpedia.org/ontology/date'],0.0,0.0
Give me all animals that are extinct.,[],[],[],1,1,"['http://dbpedia.org/ontology/animal', 'http://dbpedia.org/ontology/quote']",1,1
Who was the wife of President Lincoln?,[],['nto:spous'],['http://dbpedia.org/resource/President'],1,1,['http://dbpedia.org/ontology/person'],0.0,0.0
How many awards has Bertrand Russell?,[],['http://dbpedia.org/property/awards'],['http://dbpedia.org/resource/Bertrand_Russell'],1,1,['http://dbpedia.org/property/awards'],1.0,1.0
Is Pamela Anderson a vegan?,[],[],['http://dbpedia.org/resource/Pamela_Anderson'],1,1,['http://dbpedia.org/property/vegas'],1,1
Which space probes were sent into orbit around the sun?,[],[],[],1,1,"['http://dbpedia.org/ontology/distance', 'http://dbpedia.org/ontology/jurisdiction', 'http://dbpedia.org/ontology/year']",1,1
Which German cities have more than 250000 inhabitants?,['http://dbpedia.org/resource/Germany'],[],['http://dbpedia.org/resource/Germans'],0.0,0.0,['http://dbpedia.org/property/population'],1,1
Who is the daughter of Robert Kennedy married to?,['http://dbpedia.org/resource/Robert_F._Kennedy'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/spouse']",['http://dbpedia.org/resource/Robert_Runcie'],0.0,0.0,"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/spouse']",1.0,1.0
How many students does the Free University of Amsterdam have?,[],['http://dbpedia.org/ontology/numberOfStudents'],['http://dbpedia.org/resource/Free_University_of_Berlin'],1,1,['http://dbpedia.org/ontology/numberOfStudents'],1.0,1.0
What is the revenue of IBM?,['http://dbpedia.org/resource/IBM'],['nto:revenu'],['http://dbpedia.org/resource/IBM'],1.0,1.0,['http://dbpedia.org/ontology/revenue'],0.0,0.0
How many James Bond movies do exist?,['http://dbpedia.org/resource/Category:James_Bond_films'],['ct:subjec'],['http://dbpedia.org/resource/James_Bond'],0.0,0.0,['http://dbpedia.org/property/live'],0.0,0.0
Who does the voice of Bart Simpson?,['http://dbpedia.org/resource/Bart_Simpson'],['http://dbpedia.org/property/voiceactor'],['http://dbpedia.org/resource/Bart_Simpson'],1.0,1.0,['http://dbpedia.org/ontology/voice'],0.0,0.0
Who was Tom Hanks married to?,[],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Tom_Hanks'],1,1,['http://dbpedia.org/ontology/spouse'],1.0,1.0
Through which countries does the Yenisei river flow?,['http://dbpedia.org/resource/Yenisei_River'],['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Yenisei_River'],1.0,1.0,['http://dbpedia.org/ontology/province'],0.0,0.0
Give me all cars that are produced in Germany.,"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Germany']",[],['http://dbpedia.org/resource/Germany'],1.0,0.25,"['http://dbpedia.org/ontology/person', 'http://dbpedia.org/ontology/person']",1,1
When did Michael Jackson die?,['http://dbpedia.org/resource/Michael_Jackson'],['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/Michael_Jackson'],1.0,1.0,['http://dbpedia.org/ontology/deathCause'],0.0,0.0
What is the highest volcano in Africa?,[],"['ct:subjec', 'http://dbpedia.org/ontology/elevation']",['http://dbpedia.org/resource/Africa'],1,1,['http://dbpedia.org/ontology/elevation'],1.0,0.5
Which poet wrote the most books?,['http://dbpedia.org/resource/Poet'],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/author']",[],0,0.0,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/composer', 'http://dbpedia.org/ontology/production']",0.3333333333333333,0.5
Give me all gangsters from the prohibition era.,[],['http://dbpedia.org/ontology/occupation'],[],1,1,"['http://dbpedia.org/ontology/name', 'http://dbpedia.org/ontology/epoch']",0.0,0.0
Give me all spacecrafts that flew to Mars.,[],[],['http://dbpedia.org/resource/Mars'],1,1,"['http://dbpedia.org/property/spacecraft', 'http://dbpedia.org/ontology/time']",1,1
Show me all Czech movies.,['http://dbpedia.org/resource/Czech_Republic'],[],['http://dbpedia.org/resource/Movies@'],0.0,0.0,['http://dbpedia.org/ontology/show'],1,1
Give me all taikonauts.,"[""http://dbpedia.org/resource/People's_Republic_of_China"", 'http://dbpedia.org/resource/China']",[],[],0,0.0,['http://dbpedia.org/ontology/name'],1,1
Which countries have more than ten volcanoes?,[],[],[],1,1,"['http://dbpedia.org/ontology/province', 'http://dbpedia.org/property/volcanoes']",1,1
Give me all movies with Tom Cruise.,"['http://dbpedia.org/resource/Tom_Cruise', 'http://dbpedia.org/resource/Tom_Cruise']",[],['http://dbpedia.org/resource/Tom_Cruise'],1.0,0.5,['http://dbpedia.org/ontology/film'],1,1
When did Dracula's creator die?,['http://dbpedia.org/resource/Count_Dracula'],"['http://dbpedia.org/ontology/creator', 'http://dbpedia.org/ontology/deathDate']","['http://dbpedia.org/resource/Dracula', 'http://dbpedia.org/resource/Treytorrens']",0.0,0.0,"['http://dbpedia.org/ontology/family', 'http://dbpedia.org/ontology/family', 'http://dbpedia.org/ontology/country']",0.0,0.0
Who created English Wikipedia?,['http://dbpedia.org/resource/Wikipedia'],['nto:autho'],"['http://dbpedia.org/resource/Kingdom_of_England', 'http://dbpedia.org/resource/English_Wikipedia']",0.0,0.0,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/country']",0.0,0.0
Give me all female German chancellors.,['http://dbpedia.org/resource/Chancellor_of_Germany'],['http://dbpedia.org/property/incumbent'],['http://dbpedia.org/resource/German_Association_of_Female_Citizens'],0.0,0.0,[],0,0.0
Who owns Aldi?,['http://dbpedia.org/resource/Aldi'],['http://dbpedia.org/property/founders'],['http://dbpedia.org/resource/Aldi'],1.0,1.0,['http://dbpedia.org/ontology/languageFamily'],0.0,0.0
Which books were written by Danielle Steel?,['http://dbpedia.org/resource/Danielle_Steel'],[],['http://dbpedia.org/resource/Danielle_Steel'],1.0,1.0,"['http://dbpedia.org/property/letter', 'http://dbpedia.org/ontology/writer']",1,1
Who was influenced by Socrates?,['http://dbpedia.org/resource/Socrates'],['http://dbpedia.org/ontology/influencedBy'],['http://dbpedia.org/resource/Socrates'],1.0,1.0,['http://dbpedia.org/ontology/influenced'],0.0,0.0
How deep is Lake Chiemsee?,['http://dbpedia.org/resource/Chiemsee'],['http://dbpedia.org/ontology/maximumDepth'],['http://dbpedia.org/resource/Chiemsee'],1.0,1.0,['http://dbpedia.org/ontology/capital'],0.0,0.0
Which companies work in the aerospace industry as well as in medicine?,[],[],[],1,1,"['http://dbpedia.org/ontology/partner', 'http://dbpedia.org/ontology/volume', 'http://dbpedia.org/ontology/industry', 'http://dbpedia.org/property/drug']",1,1
Which professional surfers were born on the Philippines?,['http://dbpedia.org/resource/Philippines'],['http://dbpedia.org/ontology/occupation'],['http://dbpedia.org/resource/Philippines'],1.0,1.0,"['http://dbpedia.org/ontology/specialist', 'http://dbpedia.org/ontology/birthPlace']",0.0,0.0
Who were the parents of Queen Victoria?,['http://dbpedia.org/resource/Queen_Victoria'],['http://dbpedia.org/ontology/parent'],['http://dbpedia.org/resource/Queen_Victoria'],1.0,1.0,['http://dbpedia.org/ontology/parent'],1.0,1.0
Are there any castles in the United States?,[],['ct:subjec'],['http://dbpedia.org/resource/United_States'],1,1,['http://dbpedia.org/ontology/person'],0.0,0.0
Which languages are spoken in Estonia?,['http://dbpedia.org/resource/Estonia'],['http://dbpedia.org/ontology/spokenIn'],['http://dbpedia.org/resource/Estonia'],1.0,1.0,"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/spokenIn']",0.5,1.0
Give me a list of all critically endangered birds.,[],[],[],1,1,"['http://dbpedia.org/ontology/principal', 'http://dbpedia.org/ontology/name', 'http://dbpedia.org/ontology/date']",1,1
Which countries are connected by the Rhine?,['http://dbpedia.org/resource/Rhine'],['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Rhine'],1.0,1.0,"['http://dbpedia.org/property/countries', 'http://dbpedia.org/ontology/related']",0.0,0.0
Who was the father of Queen Elizabeth II?,['http://dbpedia.org/resource/Elizabeth_II'],"['http://dbpedia.org/ontology/parent', 'http://xmlns.com/foaf/0.1/gender']","['http://dbpedia.org/resource/Ii', 'http://dbpedia.org/resource/Queen_Elizabeth']",0.0,0.0,['http://dbpedia.org/ontology/parent'],1.0,0.5
Give me all chemical elements.,[],[],[],1,1,['http://dbpedia.org/property/chemical'],1,1
Give me all American presidents of the last 20 years.,[],[],"['http://dbpedia.org/resource/Territories_of_the_United_States', 'http://dbpedia.org/resource/Museum_of_American_Presidents']",1,1,"['http://dbpedia.org/property/2020Hockeyfest', 'http://dbpedia.org/ontology/country']",1,1
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,['http://dbpedia.org/resource/Worst_Case_Scenario_(film)'],[],"['http://dbpedia.org/resource/Worst-case_scenario', 'http://dbpedia.org/resource/Netherlands']",0.0,0.0,['http://dbpedia.org/ontology/film'],1,1
Whom did Lance Bass marry?,"['http://dbpedia.org/resource/Lance_Bass', 'http://dbpedia.org/resource/Lance_Bass']",['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Lance_Bass'],1.0,0.5,['http://dbpedia.org/ontology/spouse'],1.0,1.0
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,"['http://dbpedia.org/resource/TUI_Travel', 'http://dbpedia.org/resource/Glasgow_International_Airport', 'http://dbpedia.org/resource/Dublin_Airport']","['http://dbpedia.org/ontology/subsidiary', 'http://dbpedia.org/ontology/targetAirport']","['http://dbpedia.org/resource/Tui', 'http://dbpedia.org/resource/Travel', 'http://dbpedia.org/resource/Dublin']",0.0,0.0,"['http://dbpedia.org/ontology/subsidiary', 'http://dbpedia.org/ontology/family']",0.5,0.5
What languages are spoken in Pakistan?,['http://dbpedia.org/resource/Pakistan'],['http://dbpedia.org/ontology/language'],['http://dbpedia.org/resource/Pakistan'],1.0,1.0,"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/spokenIn']",0.5,1.0
Who is the daughter of Bill Clinton married to?,[],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/spouse']",['http://dbpedia.org/resource/Bill_Clinton'],1,1,"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/spouse']",1.0,1.0
Who was on the Apollo 11 mission?,['http://dbpedia.org/resource/Apollo_11'],['http://dbpedia.org/property/crewMembers'],['http://dbpedia.org/resource/Apollo_11'],1.0,1.0,[],0,0.0
What is the wavelength of Indigo?,[],['http://dbpedia.org/ontology/wavelength'],['http://dbpedia.org/resource/Indigo'],1,1,['http://dbpedia.org/ontology/wavelength'],1.0,1.0
Give me all B-sides of the Ramones.,['http://dbpedia.org/resource/Ramones'],['http://dbpedia.org/ontology/musicalArtist'],['http://dbpedia.org/resource/The_B-Sides'],0.0,0.0,[],0,0.0
Who was called Scarface?,[],[],['http://dbpedia.org/resource/Scarface'],1,1,[],1,1
Which rivers flow into the North Sea?,['http://dbpedia.org/resource/North_Sea'],[],['http://dbpedia.org/resource/North_Sea'],1.0,1.0,"['http://dbpedia.org/ontology/river', 'http://dbpedia.org/ontology/outflow']",1,1
Where is Fort Knox located?,['http://dbpedia.org/resource/Fort_Knox'],['http://dbpedia.org/ontology/location'],['http://dbpedia.org/resource/Fort_Knox'],1.0,1.0,['http://dbpedia.org/ontology/garrison'],0.0,0.0
Which daughters of British earls died at the same place they were born at?,[],[],"['http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland', 'http://dbpedia.org/resource/Earls_Court']",1,1,"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/house', 'http://dbpedia.org/ontology/place', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']",1,1
How many emperors did China have?,['http://dbpedia.org/resource/Emperor_of_China'],['http://dbpedia.org/property/title'],['http://dbpedia.org/resource/China'],0.0,0.0,['http://dbpedia.org/ontology/leader'],0.0,0.0
What are the names of the Teenage Mutant Ninja Turtles?,['http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles'],"['http://dbpedia.org/property/members', 'oaf:givenNam']",['http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles'],1.0,1.0,['http://dbpedia.org/ontology/athletics'],0.0,0.0
Where does Piccadilly start?,['http://dbpedia.org/resource/Piccadilly'],['http://dbpedia.org/ontology/routeStart'],['http://dbpedia.org/resource/Piccadilly'],1.0,1.0,['http://dbpedia.org/ontology/routeStart'],1.0,1.0
What is the name of the university where Obama's wife studied?,['http://dbpedia.org/resource/Barack_Obama'],"['http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/almaMater']","['http://dbpedia.org/resource/Barack_Obama', 'http://dbpedia.org/resource/Treytorrens']",0.5,1.0,"['http://dbpedia.org/ontology/name', 'http://dbpedia.org/ontology/university', 'http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/course', 'http://dbpedia.org/ontology/country']",0.2,0.5
When did Paraguay proclaim its independence?,['http://dbpedia.org/resource/Paraguay'],['http://dbpedia.org/ontology/foundingDate'],['http://dbpedia.org/resource/Paraguay'],1.0,1.0,"['http://dbpedia.org/ontology/state', 'http://dbpedia.org/property/independence']",0.0,0.0
How short is the shortest active NBA player?,['http://dbpedia.org/resource/National_Basketball_Association'],[],"['http://dbpedia.org/resource/National_Basketball_Association', 'http://dbpedia.org/resource/The_Shortest_Day']",0.5,1.0,['http://dbpedia.org/ontology/thumbnail'],1,1
Where did Abraham Lincoln die?,['http://dbpedia.org/resource/Abraham_Lincoln'],['http://dbpedia.org/ontology/deathPlace'],['http://dbpedia.org/resource/Abraham_Lincoln'],1.0,1.0,['http://dbpedia.org/ontology/deathDate'],0.0,0.0
When was Jack Wolfskin founded?,['http://dbpedia.org/resource/Jack_Wolfskin'],['http://dbpedia.org/ontology/foundingYear'],['http://dbpedia.org/resource/Jack_Wolfskin'],1.0,1.0,['http://dbpedia.org/ontology/author'],0.0,0.0
In which city is the headquarter of Air China?,['http://dbpedia.org/resource/Air_China'],['http://dbpedia.org/ontology/headquarter'],['http://dbpedia.org/resource/Air_China'],1.0,1.0,['http://dbpedia.org/ontology/headquarter'],1.0,1.0
