Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
How much is the population of Iraq?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Iraq'],1,1,['http://dbpedia.org/ontology/populationDensity'],0.0,0.0
What is the population of Cairo?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Cairo'],1,1,['http://dbpedia.org/ontology/populationTotal'],1.0,1.0
How much is the population density rank of Germany?,[],['http://dbpedia.org/property/populationDensityRank'],"['http://dbpedia.org/resource/Population_density', 'http://dbpedia.org/resource/Germany']",1,1,[],0,0.0
What is the relation between Resource Description Framework and Web Ontology Language?,[],['http://dbpedia.org/ontology/abstract'],"['http://dbpedia.org/resource/Resource_Description_Framework', 'http://dbpedia.org/resource/Web_Ontology_Language']",1,1,['http://dbpedia.org/ontology/relation'],0.0,0.0
How large is the total area of North Rhine-Westphalia?,[],['http://dbpedia.org/ontology/areaTotal'],['http://dbpedia.org/resource/North_Rhine-Westphalia'],1,1,['http://dbpedia.org/ontology/areaTotal'],1.0,1.0
What is the original title of the interpretation of dreams?,[],['oaf:nam'],[],1,1,"['http://dbpedia.org/ontology/title', 'http://dbpedia.org/ontology/description', 'http://dbpedia.org/ontology/picture']",0.0,0.0
Who are the writers of the Wall album of Pink Floyd?,[],['http://dbpedia.org/property/writer'],['http://dbpedia.org/resource/Pink_Floyd_–_The_Wall'],1,1,['http://dbpedia.org/ontology/writer'],1.0,1.0
When was the death  of  Shakespeare?,[],['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/William_Shakespeare'],1,1,['http://dbpedia.org/ontology/deathPlace'],0.0,0.0
With how many countries Iran has borders?,[],['http://dbpedia.org/property/borders'],['http://dbpedia.org/resource/Core_countries'],1,1,['http://dbpedia.org/ontology/border'],0.0,0.0
What is the smallest city by area in Germany?,[],"['kos:broade', 'ct:subjec']",['http://dbpedia.org/resource/Germany'],1,1,['http://dbpedia.org/ontology/area'],0.0,0.0
Which beer brewing comapnies are located in North-Rhine Westphalia?,[],[],"['http://dbpedia.org/resource/Museum_of_Beer_and_Brewing', 'http://dbpedia.org/resource/North_Rhine-Westphalia']",1,1,['http://dbpedia.org/ontology/locatedInArea'],1,1
What is the largest city in america?,[],['http://dbpedia.org/ontology/largestCity'],[],1,1,"['http://dbpedia.org/ontology/largestSettlement', 'http://dbpedia.org/ontology/province']",0.0,0.0
Who is the current federal minister of finance in Germany?,['http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)'],['http://dbpedia.org/ontology/leader'],"['http://dbpedia.org/resource/Current_prime_minister_of_Canada', 'http://dbpedia.org/resource/Germany']",0.0,0.0,['http://dbpedia.org/ontology/capital'],0.0,0.0
What is the highest mountain in the Bavarian Alps?,[],['http://dbpedia.org/property/highest'],['http://dbpedia.org/resource/Bavarian_Alps'],1,1,['http://dbpedia.org/ontology/elevation'],0.0,0.0
Who is 8th president of US?,[],"['http://dbpedia.org/ontology/wikiPageRedirects', 'http://dbpedia.org/property/name']",['http://dbpedia.org/resource/United_States'],1,1,['http://dbpedia.org/ontology/governor'],0.0,0.0
Where is the most deep point in the ocean?,[],['ct:subjec'],[],1,1,"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/property/ocean']",0.0,0.0
In which state Penn State University is located?,[],['http://dbpedia.org/ontology/state'],['http://dbpedia.org/resource/Pennsylvania_State_University'],1,1,['http://dbpedia.org/ontology/locatedInArea'],0.0,0.0
Which species does an elephant belong?,[],['http://dbpedia.org/property/species'],[],1,1,"['http://dbpedia.org/ontology/species', 'http://dbpedia.org/ontology/name', 'http://dbpedia.org/ontology/date']",0.3333333333333333,1.0
What is Donald Trump's main business?,[],['http://dbpedia.org/ontology/owner'],"['http://dbpedia.org/resource/Donald_Trump', 'http://dbpedia.org/resource/The_Main_Monkey_Business']",1,1,[],0,0.0
What is the last work of Dan Brown?,[],"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/releaseDate|dbo:publicationDate']",['http://dbpedia.org/resource/Dan_Brown'],1,1,['http://dbpedia.org/ontology/volume'],0.0,0.0
What other books have been written by the author of The Fault in Our Stars?,['http://dbpedia.org/resource/John_Green_(author)'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Fault_in_Our_Stars'],0.0,0.0,"['http://dbpedia.org/ontology/production', 'http://dbpedia.org/ontology/writer', 'http://dbpedia.org/ontology/author']",0.3333333333333333,1.0
When was the last episode of the TV series Friends aired?,[],['http://dbpedia.org/ontology/completionDate'],"['http://dbpedia.org/resource/Tuvalu', 'http://dbpedia.org/resource/Thomas_&_Friends_(series_3)']",1,1,"['http://dbpedia.org/ontology/part', 'http://dbpedia.org/ontology/flag']",0.0,0.0
